year,food_prod_index_2014_16_100,cv5,cv5_scaled_0_1,S_stability_from_cv,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1996,76.52,0.05447505518926934,0.8019556639269315,0.19804433607306848,0.7503763891796545,0.3586805847215025,0.8274159029797518,0.1980443360730684,0.4582667312132106
1997,79.13,0.06482209752087235,1.0,0.0,0.819249334921393,0.3826376404789073,0.8592438127640891,0.0,0.004051166103327
1998,80.11,0.04338617372786778,0.5794046142073245,0.4205953857926755,0.8305399817643014,0.4049960528546035,0.893815507874663,0.4205953857926755,0.5963221359192177
1999,81.02,0.049276544784465054,0.6976228733209019,0.3023771266790981,0.8474759520286624,0.4314771122969967,0.9975305932063868,0.3023771266790981,0.5762886638807591
2000,83.02,0.030009926408348757,0.3109467095367682,0.6890532904632318,0.9400592561405072,0.4601971535086114,0.9695439828787796,0.6890532904632318,0.7332125182125405
2001,81.64,0.01829243570575452,0.07577963114214681,0.9242203688578532,0.8858641512945492,0.472574119034705,0.886681666026451,0.9242203688578532,0.7653235568640672
2002,80.44,0.014159251471708255,0.0,1.0,0.9716730673006492,0.4855578268052787,0.9739340394007572,1.0,0.8233275866725963
2003,83.11,0.014556329620982474,0.0007969258148290089,0.999203074185171,0.964898679194904,0.5077922621977883,0.9843604236404534,0.999203074185171,0.8331897607670244
2004,87.95,0.03432536372143441,0.3975564462689511,0.6024435537310489,1.0,0.5417202829216604,1.0,0.6024435537310489,0.7558278051799627
2005,85.68,0.03639798437642769,0.43915341924092055,0.5608465807590794,1.0,0.5780489466405967,1.0,0.5608465807590794,0.7545745834699099
2006,84.48,0.033313024928567005,0.37723906242742117,0.6227609375725789,0.9716730673006492,0.6111219840639143,0.9854579377709488,0.6227609375725789,0.7769657629558635
2007,89.61,0.030408705957257497,0.318950114345925,0.681049885654075,0.9423173855090886,0.637298423277487,1.0,0.681049885654075,0.7997048741862552
2008,91.2,0.031391096814134135,0.33866645067739903,0.6613335493226009,0.8779606985045141,0.6446348968766878,0.892717993744169,0.6613335493226009,0.7602928962923783
2009,93.03,0.04087768036036269,0.5290597860029504,0.47094021399704955,0.8158621408685202,0.6227203952364363,0.7835153377599742,0.4709402139970495,0.658007414707575
