year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean,cpi_food_index,cpi_food_yoy_pct,iENERGY,iAGRICULTURE,iFOOD,iGRAINS,iFERTILIZERS,iMETMIN,CRUDE_PETRO,MAIZE,SOYBEANS,WHEAT_US_HRW,WHEAT_US_SRW,us_population
2014,71526897000.0,500857000.0,142.80901934084977,6047651000.0,185105000.0,32.671462143107966,19541912000.0,501591000.0,38.95985374538219,0.8287091270526683,0.7377429957563063,0.6647554863871158,0.6175679488010873,0.7078047518233942,239.45600000000002,2.3889807217504666,120.40235773113,101.88458156883,106.01653813113,104.08341191293,101.47294963957,84.79044062036,96.235,192.88121953333,484.8575,284.8859214,245.21163752025,319257560.0
2015,68081402000.0,485384000.0,140.26297117333905,6345865000.0,192680000.0,32.934736350425574,19647562000.0,498147000.0,39.441293433464416,0.8372889918802185,0.7623546452506195,0.7087203781101121,0.5882849355516304,0.718246916211935,242.25,1.1668114392623163,66.09910600088,87.85747928828,88.46385989393,87.0646783881,98.4020707637,66.93781916701,50.75277777778,169.75022306667,392.1225,204.449128614,206.37664030275,321815121.0
2016,75677408000.0,520070000.0,145.5138885150076,6890176000.0,176127000.0,39.12049827681162,21187576000.0,497911000.0,42.55293817569807,0.8567182341671228,0.7781486847964157,0.7593311255586774,0.2539525627828184,0.5987852587632528,239.06508333333332,-1.3147230822153522,56.02388371076,87.4469371009,89.62566925495,80.68537698801,77.7094140548,62.96807452078,42.81194444444,159.1608872,405.4475,166.63254345000001,176.30378359125,324353340.0
2017,71804453000.0,499459000.0,143.76445914479467,5239870000.0,151900000.0,34.49552337063858,22079629000.0,534677000.0,41.29526611393421,0.8667040897470586,0.8074666968399609,0.7920491845153259,0.5337390057778933,0.7375120825203595,238.58908333333332,-0.19910895951974483,69.35798926664,86.94846096013,90.20208785739,80.54523586508,74.2585009075,78.19971299913,52.805,154.53153846667,393.37811183333,174.195615525,178.18260991725,326608609.0
2018,73138649000.0,490013000.0,149.25858905784133,5643593000.0,158313000.0,35.64832325835528,22996359000.0,530871000.0,43.31816769045587,0.8965841609335854,0.8476098264189607,0.8661760368389827,0.626878745412633,0.8014827668042349,239.66108333333332,0.44930806767145004,89.35813828858,86.55525219788,90.44734405002,88.75876185959,82.50326035462,82.51012543675,68.3475,164.4145468,394.42416666667,209.9288346,203.89093102725,328529577.0
2019,68708448000.0,492250000.0,139.58039207719654,5833223000.0,152609000.0,38.22332234665059,17964196000.0,457168000.0,39.29451755153467,0.929198718071602,0.8801060115216369,0.9357019121218606,0.6822932453249793,0.8500374201441339,241.7745,0.8818355643194664,78.25171393644,83.13101916585,86.97996020112,88.95724894234,81.3785924897,78.35898702329,61.4075,170.07008806667,368.94666666667,201.692128575,211.27579630275,330226227.0
2020,73492958000.0,498741000.0,147.3569608273633,5480899000.0,146643000.0,37.3757970036074,21392073000.0,496241000.0,43.10823370096384,0.9597319660643548,0.8669496550454777,1.0,0.9136495529273784,0.9337505510005,250.23283333333333,3.4984389724033615,52.68381369088,87.07572997935,93.12162821909,95.34816323065,74.60819918939,79.14750453154,41.25777777778,165.46600046667,406.63984166467,231.56548795,227.73879764625,
2021,74845117000.0,509233000.0,146.9761720077057,5089079000.0,151451000.0,33.60214854969594,22050257000.0,519040000.0,42.48277011405672,0.99074125817012,0.969924065491064,0.8861136040156904,0.9136495529273784,0.939164695659022,258.89175,3.4603439330170405,95.38153611633,107.73860643677,120.92583644348,123.82473363084,152.30746508347,116.4444663316,69.07055555556,259.54567977893,583.3225,315.2375,281.660606585182,
2022,69778220000.0,485017000.0,143.86757577569446,5213430000.0,148256000.0,35.1650523418951,21837609000.0,520789000.0,41.93177851298702,1.0,1.0,0.9878463185840196,0.8986376493541925,0.9706630525358448,288.4510833333333,11.417642058247623,152.57393833198,119.31760848966,138.11749681602,150.37289779006,235.73620010441,115.02407389721,97.10138888889,318.80665693333,675.395,429.97166666667,381.9184301661429,
2023,75883923000.0,520438000.0,145.80780611715517,5277206000.0,150393000.0,35.089439003145095,20747371000.0,496036000.0,41.82634123329758,1.0,1.0,0.9909136366112048,0.8545649197648182,0.959279616801819,302.9289166666667,5.019164139038024,106.95201084625,110.88394289909,125.44405313007,133.04077947589,153.53819494048,103.99665409897,80.75569444444,252.6552851537,597.89833333333,340.43,257.7418135486364,
