Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1993","1993","50.91"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1994","1994","52.76"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1995","1995","54.93"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1996","1996","57.5"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1997","1997","59.46"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1998","1998","61.68"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1999","1999","64.4"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2000","2000","64.84"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2001","2001","64.68"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2002","2002","68.01"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2003","2003","70.91"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2004","2004","75.5"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2005","2005","79.76"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2006","2006","84.78"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2007","2007","79.52"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2008","2008","84.56"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2009","2009","75.95"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2010","2010","85.7"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2011","2011","79.36"
